Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment,Transaction Type
XDGU.SW,10.1575,2026/08/03,17:18 CEST,0.0,10.0,10.1575,10.0,1782,,,,,,,,
VDEA.L,63.34,2026/08/04,08:38 BST,0.060001373,63.69,63.72,63.12,183,,,,,,,,
SMCI,28.64,2026/08/03,16:00 EDT,0.24,28.0147,28.925,27.44,23074388,,,,,,,,
NFLX,73.33,2026/08/03,16:00 EDT,1.62,72.63,73.95,72.18,32254063,,,,,,,,
TSM,406.11,2026/08/03,16:00 EDT,1.85999,400.585,407.44,398.2001,11345582,,,,,,,,
INTC,91.0,2026/08/03,16:00 EDT,0.800003,88.4,91.6751,85.62,93454443,,,,,,,,
AVGO,392.23,2026/08/03,16:00 EDT,2.95001,384.405,392.605,374.61,17238778,,,,,,,,
AMAT,518.21,2026/08/03,16:00 EDT,10.54,498.86,519.5,491.68,5952350,,,,,,,,
MSEM.XD,70.37,2026/07/08,12:13 CEST,0.0,70.37,70.37,70.37,17,,,,,,,,
HON,246.77,2026/08/03,16:00 EDT,3.72,245.47,249.64,242.2,3141198,,,,,,,,
UBSG.SW,43.21,2026/08/04,09:49 CEST,0.65999985,42.82,43.37,42.77,692666,,,,,,,,
SQN.SW,41.7,2026/08/04,09:48 CEST,0.3199997,41.74,42.0,41.64,12586,,,,,,,,
TKA.DE,12.51,2026/08/04,09:49 CEST,0.31000042,12.28,12.53,12.27,379103,,,,,,,,
ABBN.SW,81.42,2026/08/04,09:50 CEST,1.3399963,80.86,82.02,80.86,261611,,,,,,,,
ACLN.SW,73.25,2026/08/04,09:50 CEST,0.8499985,73.2,73.95,72.9,20627,,,,,,,,
AMSC,30.99,2026/08/03,16:00 EDT,1.62,29.16,31.09,28.868,647064,,,,,,,,
SMSN.IL,4218.0,2026/08/04,08:50 BST,106.0,4220.0,4238.0,4210.0,5857,,,,,,,,
IFX.DE,63.68,2026/08/04,09:50 CEST,2.209999,63.52,63.91,63.32,371321,,,,,,,,
SREN.SW,135.4,2026/08/04,09:50 CEST,-0.30000305,135.1,135.9,134.9,30441,,,,,,,,
CVX,193.18,2026/08/03,16:04 EDT,-3.65001,195.38,195.86,191.83,7965535,,,,,,,,
VST,155.94,2026/08/03,16:00 EDT,7.75,148.77,156.955,146.19,3503988,,,,,,,,
AAL,16.04,2026/08/03,16:00 EDT,0.77,15.77,16.38,15.7,53160625,,,,,,,,
DKS,200.82,2026/08/03,16:00 EDT,4.91,200.16,203.35,196.71,1376240,,,,,,,,
ONON,37.95,2026/08/03,16:00 EDT,1.71,37.76,38.35,37.42,4254590,,,,,,,,
NVO,47.09,2026/08/03,16:04 EDT,0.00999832,47.0,47.195,46.185,11832978,,,,,,,,
AMGN,378.87,2026/08/03,16:00 EDT,-6.29001,388.5,391.03,375.96,3235031,,,,,,,,
RGTI,16.02,2026/08/03,16:00 EDT,1.07,14.93,16.3,14.71,22201946,,,,,,,,
PANW,347.13,2026/08/03,16:00 EDT,15.3,336.49,347.66,330.01,6640138,,,,,,,,
TXN,269.04,2026/08/03,16:00 EDT,-6.69998,273.055,273.34,264.81,7803783,,,,,,,,
SPCX,114.53,2026/08/03,16:00 EDT,6.16,106.425,114.92,104.83,69388988,,,,,,,,
PLTR,125.65,2026/08/03,16:00 EDT,2.59,126.51,126.965,123.6567,67056359,,,,,,,,
CRWV,85.76,2026/08/03,16:00 EDT,13.99,70.74,86.2,69.89,44007925,,,,,,,,
IONQ,38.85,2026/08/03,16:00 EDT,2.41,35.83,40.16,35.4263,23138654,,,,,,,,
CHYM,24.26,2026/08/03,16:00 EDT,1.27,23.33,24.39,23.25,5349445,,,,,,,,
MU,829.5,2026/08/03,16:00 EDT,6.46997,786.355,836.62,770.15,42015788,,,,,,,,
MSFT,487.65,2026/08/03,16:00 EDT,22.93,476.395,491.64,475.0001,61678582,,,,,,,,
BRK-A,768250.0,2026/08/03,16:04 EDT,1650.0,770051.0,777290.25,767144.56,124,,,,,,,,
KLAC,182.75,2026/08/03,16:00 EDT,-0.0700073,177.97,183.19,174.6,10247758,,,,,,,,
META,590.24,2026/08/03,16:00 EDT,33.53,562.42,597.52,559.36,24169883,,,,,,,,
CHKP,122.97,2026/08/03,16:00 EDT,-4.16,127.09,127.94,122.17,1912857,,,,,,,,
BLK,1126.63,2026/08/03,16:00 EDT,36.24,1100.07,1129.24,1096.19,587756,,,,,,,,
GOOG,372.47,2026/08/03,16:00 EDT,15.82,365.22,376.09,363.27,26976361,,,,,,,,
LMT,586.29,2026/08/03,16:05 EDT,3.54999,583.5,589.41,579.03,975059,,,,,,,,
SPCE,2.82,2026/08/03,16:00 EDT,0.27,2.53,2.82,2.52,10967765,,,,,,,,
MSTR,94.86,2026/08/03,16:00 EDT,1.58,92.01,96.06,90.93,13789626,,,,,,,,
BA,233.49,2026/08/03,16:00 EDT,17.35,221.0,234.0886,219.5,10015708,,,,,,,,
LTC-USD,44.27,2026/08/04,08:04 UTC,0.22999954,44.24697,44.50262,44.052666,161372736,,,,,,,,
FLOKI-USD,2.05E-5,2026/08/04,08:04 UTC,3.0000047E-7,2.0502803E-5,2.0687865E-5,2.0439848E-5,11642508,,,,,,,,
ICP-USD,2.0987,2026/08/04,08:05 UTC,0.048700094,2.1119835,2.123316,2.0917454,29968490,,,,,,,,
SOL-USD,73.58,2026/08/04,08:05 UTC,1.3100052,73.474365,73.95989,73.0208,1497429120,,,,,,,,
ETH-USD,1862.58,2026/08/04,08:05 UTC,24.630005,1858.5298,1870.3955,1848.3574,8057128960,,,,,,,,
DOGE-USD,0.07023,2026/08/04,08:05 UTC,9.900033E-4,0.07014479,0.07047774,0.06990122,435518560,,,,,,,,
PBE,90.16,2026/08/03,15:59 EDT,0.549202,90.115,90.71,89.7676,690343,,,,,,,,
XSPS.MI,4.844,2026/08/04,09:19 CEST,-0.03000021,4.845,4.845,4.844,2500,,,,,,,,
VOO,696.4,2026/08/03,16:00 EDT,9.75,688.83,697.3099,688.61,6732336,,,,,,,,
IWME.AS,8.073,2026/08/04,09:12 CEST,0.08099985,8.074,8.074,8.073,62,,,,,,,,
SPSN.SW,130.4,2026/08/04,09:50 CEST,0.0,130.0,130.5,130.0,3105,,,,,,,,
O,63.48,2026/08/03,16:00 EDT,-0.389999,63.875,64.13,62.955,6049964,,,,,,,,
BCHE.SW,143.86,2026/08/04,09:30 CEST,2.4400024,143.86,143.86,143.86,1,,,,,,,,
VAGX.SW,20.594,2026/08/03,17:23 CEST,0.0,20.646,20.646,20.544,33494,,,,,,,,
ZGLD.SW,974.0,2026/08/04,09:38 CEST,5.0,973.6,974.5,973.1,351,,,,,,,,
CHDVD.SW,192.26,2026/08/04,09:48 CEST,-0.3600006,192.54,192.76,192.22,12466,,,,,,,,
SHEL,91.08,2026/08/03,16:00 EDT,-0.900002,90.94,91.735,90.74,6194602,,,,,,,,
ACN,165.76,2026/08/03,16:00 EDT,-0.160004,170.37,171.4726,165.44,6640364,,,,,,,,
NVDA,206.64,2026/08/03,16:00 EDT,5.89,197.73,208.74,196.85,127547828,,,,,,,,
ZSIL.SW,136.3,2026/08/04,09:45 CEST,3.4000092,136.32,136.52,136.3,10196,,,,,,,,
ENA-USD,0.09149,2026/08/04,08:05 UTC,0.0018900037,0.092798606,0.09310259,0.09109565,162882688,,,,,,,,
BTC-USD,63648.21,2026/08/04,08:05 UTC,1190.6211,63463.723,64104.53,63292.66,26286475264,,,,,,,,
